Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
530000,0.66436136,1.9999788e-05,3.7430668,0.23443429,0.03492536,43.38786844461931,43.38786853159367,1016.8870967741935
535000,0.6527955,1.9999787e-05,3.9291065,0.23339806,0.033329193,47.42762412626958,47.427624227314794,1220.8598130841121
540000,0.68012244,1.9999787e-05,3.8548625,0.20905042,0.033907626,55.10488682909963,55.10488671634817,1279.0224719101125
545000,0.68806297,1.9999785e-05,4.0850215,0.19407475,0.033594,68.49743079133809,68.49743082193282,1656.179487179487
550000,0.75946033,1.9999778e-05,3.8020585,0.15130161,0.03274459,100.416372939282,100.41637310327879,2214.9333333333334
555000,0.70634955,1.9999778e-05,3.5538485,0.15387207,0.034844086,96.08052052494003,96.08052064394934,2718.1774193548385
560000,0.6440547,1.9999776e-05,3.5757287,0.18704028,0.036012013,51.26942997943436,51.269430006746724,1348.7093023255813
565000,0.6239363,1.9999776e-05,3.9043672,0.18765105,0.035653207,52.48579621925536,52.48579619410351,1388.2727272727273
570000,0.6255399,1.9999772e-05,3.7210157,0.18851413,0.03509099,54.863671464808284,54.863671445421616,1309.8
575000,0.6990462,1.9999772e-05,3.8853278,0.1565101,0.03521647,59.34411920828825,59.344119162393774,1594.59375
580000,0.6654086,1.999977e-05,3.8849506,0.16326503,0.033503693,67.36640628856108,67.36640631935522,1694.8372093023256
585000,0.7001538,1.9999767e-05,3.833576,0.14520912,0.034569673,64.70949072763324,64.70949085038842,1586.7
590000,0.7828838,1.9999763e-05,3.6777601,0.13404578,0.034084775,71.95297924040683,71.95297913387341,1837.2285714285715
595000,0.76344794,1.9999761e-05,3.5421448,0.1295514,0.035900142,68.5281126585225,68.52811279554174,1937.943661971831
600000,0.7083858,1.9999761e-05,3.6326032,0.13633983,0.033493895,59.78195099900645,59.781950972437784,1572.012048192771
