Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
21000,1.0113971,0.0001999999,3.3303678,56.803915832546494,56.80391562048792,2271.4761904761904,0.24937806,0.037020974
22000,0.9629467,0.0001999999,3.4068813,40.17683873573939,40.17683862427418,1261.111111111111,0.19806692,0.037730664
23000,1.006689,0.0001999999,3.2520409,19.78393826159564,19.783938215181468,680.6363636363636,0.2367173,0.033534825
24000,1.0283523,0.0001999999,3.4067488,24.838051967322826,24.83805206374518,788.25,0.19222882,0.03353081
25000,1.0130569,0.0001999999,3.6486685,25.742312395107,25.742312365984937,1347.5,0.22941312,0.037550956
26000,1.0863256,0.0001999999,3.2293396,102.90180163047505,102.90180188596634,2149.0,0.23042262,0.030825663
27000,1.0247654,0.0001999999,3.3084307,24.300896167755127,24.300896424531615,775.0,0.2118698,0.03552293
28000,1.0254596,0.0001999999,3.341442,26.343515374443747,26.34351548082627,846.8181818181819,0.22059335,0.03521537
29000,1.0214546,0.00019999988,3.4140146,23.820452756351894,23.820452839226668,796.5555555555555,0.20928842,0.034358364
30000,1.0043631,0.00019999986,3.2966347,30.792119186785484,30.79211893092947,1246.6666666666667,0.24532917,0.033830065
31000,0.8505176,0.00019999986,3.8996649,73.86839040319124,73.86839057489755,1845.0,0.36984256,0.03815586
32000,0.85476977,0.00019999986,4.086628,25.367765949169794,25.367765908905252,701.2,0.26430798,0.031758267
33000,0.9037004,0.00019999986,4.058851,21.561620141069096,21.561620289622017,685.75,0.21448141,0.03684333
34000,0.9103656,0.00019999986,4.0673795,26.240969462828204,26.240969468061312,812.4545454545455,0.21169814,0.033725172
35000,0.86576694,0.00019999986,4.100709,17.9916790551506,17.99167905407077,698.6428571428571,0.26215854,0.032816637
36000,0.87611246,0.00019999986,3.9884255,85.99785543582402,85.99785575033086,1656.6875,0.28742415,0.037374422
37000,0.8247949,0.00019999986,3.8666222,13.95944494009018,13.95944489127966,482.8235294117647,0.2717194,0.03656861
38000,0.85929006,0.00019999986,3.7238111,16.45447244644165,16.45447255934311,553.1333333333333,0.287577,0.030885005
39000,0.8999715,0.00019999986,3.768897,19.5649493049298,19.56494927920666,686.8571428571429,0.25038978,0.03440781
40000,0.8495266,0.00019999986,3.8214855,15.323047804335753,15.323047833135266,579.4,0.2514339,0.03396262
41000,0.82666993,0.00019999986,3.9269533,83.41736039660614,83.41736029508247,1762.1724137931035,0.28625253,0.034793198
42000,0.88812685,0.00019999986,3.964252,33.92125939577818,33.92125949148283,1034.5,0.21316656,0.03826261
43000,0.83476037,0.00019999986,4.04879,24.561034305529162,24.56103418280145,776.0,0.21703553,0.03273164
44000,0.82606274,0.00019999983,3.9372814,20.630596177222635,20.630596173394363,746.8461538461538,0.21779622,0.031738706
45000,0.7619294,0.00019999983,4.1288824,20.60844483758722,20.60844491162522,763.2142857142857,0.2741915,0.03464908
46000,0.98256975,0.00019999983,3.0703359,93.22445351580778,93.22445354811991,1730.1666666666667,0.29266554,0.03369956
47000,0.94880027,0.00019999983,2.993411,20.96995085477829,20.969950930292345,730.75,0.22698864,0.033852275
48000,1.0032458,0.00019999983,2.7710378,21.88427880530556,21.884278868603058,747.4166666666666,0.21473813,0.035112478
49000,0.94274306,0.00019999983,2.7516909,21.601963266575087,21.60196339014334,801.5833333333334,0.20848335,0.032216273
50000,0.96453893,0.00019999983,2.8106544,18.84462224394083,18.844622308856383,676.2,0.20927876,0.03094793
51000,0.98480517,0.00019999983,3.1165617,47.440886446895696,47.44088651524718,2047.1666666666667,0.23824513,0.037006475
52000,0.98268723,0.00019999983,3.1565113,26.741788259574346,26.74178832794028,850.5714285714286,0.17748742,0.03383751
53000,0.8980979,0.00019999975,3.4446633,22.207444726179045,22.207444529634206,910.0,0.20076819,0.038888104
54000,0.8399741,0.00019999975,3.6960533,16.357428822293876,16.3574287271746,781.4666666666667,0.24794263,0.033275496
55000,0.8632845,0.00019999975,3.5707214,20.669947218324523,20.66994731123583,690.8125,0.26139396,0.032445267
56000,0.86275524,0.00019999972,3.8607876,85.10825354500363,85.10825384228977,1740.6,0.2790519,0.03175644
57000,0.775521,0.00019999972,4.056023,14.587331873313007,14.587331859335539,543.5555555555555,0.2788315,0.031480126
58000,0.79657644,0.00019999972,3.9415343,16.018946439027786,16.018946440674103,514.5714285714286,0.26746756,0.035491496
59000,0.7615836,0.00019999972,3.9176025,21.79641902446747,21.79641909394316,656.3333333333334,0.2388938,0.03293294
60000,0.7730285,0.00019999972,3.865302,17.08874182485474,17.088741894243167,660.0769230769231,0.25635976,0.033353835
61000,0.7762726,0.00019999972,4.0600243,94.37251974824176,94.37251980605133,1794.46875,0.3748097,0.039184585
62000,0.75562096,0.00019999972,4.12196,13.60849147302409,13.608491521324565,512.4666666666667,0.27280855,0.034479186
