Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
71000,0.7782331,0.00019999967,5.018257,261.02016996592283,261.02017009696795,4761.125
72000,0.7416056,0.00019999967,5.6525335,None,None,None
73000,0.7222551,0.00019999967,5.6993957,None,None,None
74000,0.73987937,0.00019999967,5.640298,230.44334161281586,230.4433434228531,3697.0
75000,0.7602491,0.00019999967,5.5428915,266.4004648923874,266.40046397137667,4252.0
76000,0.74295545,0.00019999967,5.428869,206.02319391118363,206.02319338625352,3928.375
77000,0.674927,0.00019999967,6.330661,None,None,None
78000,0.67461324,0.00019999967,6.377762,None,None,None
79000,0.6412166,0.00019999967,6.4123497,None,None,None
80000,0.6281714,0.00019999967,6.465146,None,None,None
81000,0.8601114,0.00019999967,4.9918785,312.1749174762517,312.17491817788607,4922.0
82000,0.79371166,0.00019999967,5.336862,None,None,None
83000,0.7822758,0.00019999966,5.341167,None,None,None
84000,0.7601866,0.00019999966,5.3357153,None,None,None
85000,0.781783,0.00019999966,5.089294,267.58266842365265,267.5826688151583,4224.5
86000,0.8189148,0.00019999965,4.6490507,161.90268303547055,161.90268372716145,3865.875
87000,0.74308217,0.00019999965,5.199183,None,None,None
88000,0.7453639,0.00019999965,5.1860766,None,None,None
89000,0.74253213,0.00019999965,5.1450844,None,None,None
90000,0.7451675,0.00019999965,5.0643725,297.1588769555092,297.15887637621927,4677.0
91000,0.9516992,0.00019999965,3.313784,194.09823654592037,194.09823637746314,4337.375
92000,0.93271726,0.00019999965,3.652038,None,None,None
93000,0.91130567,0.00019999965,3.626956,None,None,None
94000,0.91900563,0.00019999965,3.591044,None,None,None
95000,0.88692635,0.00019999965,3.516633,None,None,None
96000,0.6849453,0.00019999965,4.506135,150.68546232877998,150.6854627440519,4922.0
97000,0.6755102,0.00019999965,5.078013,60.49196285009384,60.49196286320148,1079.0
98000,0.70396596,0.00019999965,4.886731,135.17208129167557,135.17208135314286,2210.0
99000,0.693288,0.00019999965,4.995196,None,None,None
100000,0.7510188,0.00019999963,4.385189,259.4952872991562,259.4952874963228,4111.0
101000,0.8400801,0.0001999996,3.4627082,177.20589168812148,177.20589173730636,3996.875
102000,0.7773936,0.0001999996,4.1427746,97.13450425863266,97.13450382330939,1652.0
103000,0.75643075,0.0001999996,4.211969,None,None,None
104000,0.76790905,0.0001999996,4.103003,231.57582759857178,231.57582629767512,3704.0
